pdb_file,metadata_file,protein_chains,complex_chains
data/Ankyrin_repeat_protein/pdb_files/5AAO.pdb,data/Ankyrin_repeat_protein/metadata_files/5AAO_metadata.json,12,1
data/Ankyrin_repeat_protein/pdb_files/5CEA.pdb,data/Ankyrin_repeat_protein/metadata_files/5CEA_metadata.json,5,1
data/Ankyrin_repeat_protein/pdb_files/4TUM.pdb,data/Ankyrin_repeat_protein/metadata_files/4TUM_metadata.json,5,1
data/Ankyrin_repeat_protein/pdb_files/5U0K.pdb,data/Ankyrin_repeat_protein/metadata_files/5U0K_metadata.json,10,1
data/Ankyrin_repeat_protein/pdb_files/5HRY.pdb,data/Ankyrin_repeat_protein/metadata_files/5HRY_metadata.json,8,1
data/Ankyrin_repeat_protein/pdb_files/1N0Q.pdb,data/Ankyrin_repeat_protein/metadata_files/1N0Q_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/2AJA.pdb,data/Ankyrin_repeat_protein/metadata_files/2AJA_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/8E0M.pdb,data/Ankyrin_repeat_protein/metadata_files/8E0M_metadata.json,12,1
data/Ankyrin_repeat_protein/pdb_files/6JD6.pdb,data/Ankyrin_repeat_protein/metadata_files/6JD6_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/3HRA.pdb,data/Ankyrin_repeat_protein/metadata_files/3HRA_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2ZGG.pdb,data/Ankyrin_repeat_protein/metadata_files/2ZGG_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5CER.pdb,data/Ankyrin_repeat_protein/metadata_files/5CER_metadata.json,12,2
data/Ankyrin_repeat_protein/pdb_files/2XEE.pdb,data/Ankyrin_repeat_protein/metadata_files/2XEE_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/5KWD.pdb,data/Ankyrin_repeat_protein/metadata_files/5KWD_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/1N0R.pdb,data/Ankyrin_repeat_protein/metadata_files/1N0R_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2RFM.pdb,data/Ankyrin_repeat_protein/metadata_files/2RFM_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5D66.pdb,data/Ankyrin_repeat_protein/metadata_files/5D66_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/2QYJ.pdb,data/Ankyrin_repeat_protein/metadata_files/2QYJ_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2BKG.pdb,data/Ankyrin_repeat_protein/metadata_files/2BKG_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4QFV.pdb,data/Ankyrin_repeat_protein/metadata_files/4QFV_metadata.json,4,1
