pdb_file,metadata_file,protein_chains,polymer_composition,PDB_ID
data/Ankyrin_repeat_protein/pdb_files/6JD6.pdb,data/Ankyrin_repeat_protein/metadata_files/6JD6_metadata.json,2,heteromeric protein,6JD6
data/Ankyrin_repeat_protein/pdb_files/5CER.pdb,data/Ankyrin_repeat_protein/metadata_files/5CER_metadata.json,12,heteromeric protein,5CER
data/Ankyrin_repeat_protein/pdb_files/4ZHB.pdb,data/Ankyrin_repeat_protein/metadata_files/4ZHB_metadata.json,2,heteromeric protein,4ZHB
data/Ankyrin_repeat_protein/pdb_files/4NL9.pdb,data/Ankyrin_repeat_protein/metadata_files/4NL9_metadata.json,4,heteromeric protein,4NL9
data/Ankyrin_repeat_protein/pdb_files/4ATZ.pdb,data/Ankyrin_repeat_protein/metadata_files/4ATZ_metadata.json,6,heteromeric protein,4ATZ
data/Ankyrin_repeat_protein/pdb_files/6C9K.pdb,data/Ankyrin_repeat_protein/metadata_files/6C9K_metadata.json,24,heteromeric protein,6C9K
data/Ankyrin_repeat_protein/pdb_files/2DZN.pdb,data/Ankyrin_repeat_protein/metadata_files/2DZN_metadata.json,6,heteromeric protein,2DZN
data/Ankyrin_repeat_protein/pdb_files/4LG6.pdb,data/Ankyrin_repeat_protein/metadata_files/4LG6_metadata.json,2,heteromeric protein,4LG6
data/Ankyrin_repeat_protein/pdb_files/3Q9N.pdb,data/Ankyrin_repeat_protein/metadata_files/3Q9N_metadata.json,4,heteromeric protein,3Q9N
data/Ankyrin_repeat_protein/pdb_files/3Q9U.pdb,data/Ankyrin_repeat_protein/metadata_files/3Q9U_metadata.json,4,heteromeric protein,3Q9U
data/Ankyrin_repeat_protein/pdb_files/5MAD.pdb,data/Ankyrin_repeat_protein/metadata_files/5MAD_metadata.json,8,heteromeric protein,5MAD
data/Ankyrin_repeat_protein/pdb_files/3TWR.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWR_metadata.json,8,heteromeric protein,3TWR
data/Ankyrin_repeat_protein/pdb_files/3TWS.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWS_metadata.json,8,heteromeric protein,3TWS
data/Ankyrin_repeat_protein/pdb_files/3TWT.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWT_metadata.json,8,heteromeric protein,3TWT
data/Ankyrin_repeat_protein/pdb_files/3TWV.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWV_metadata.json,8,heteromeric protein,3TWV
data/Ankyrin_repeat_protein/pdb_files/5CEC.pdb,data/Ankyrin_repeat_protein/metadata_files/5CEC_metadata.json,2,heteromeric protein,5CEC
data/Ankyrin_repeat_protein/pdb_files/5CED.pdb,data/Ankyrin_repeat_protein/metadata_files/5CED_metadata.json,2,heteromeric protein,5CED
data/Ankyrin_repeat_protein/pdb_files/2DZO.pdb,data/Ankyrin_repeat_protein/metadata_files/2DZO_metadata.json,4,heteromeric protein,2DZO
data/Ankyrin_repeat_protein/pdb_files/1SVX.pdb,data/Ankyrin_repeat_protein/metadata_files/1SVX_metadata.json,2,heteromeric protein,1SVX
data/Ankyrin_repeat_protein/pdb_files/7DNF.pdb,data/Ankyrin_repeat_protein/metadata_files/7DNF_metadata.json,6,heteromeric protein,7DNF
data/Ankyrin_repeat_protein/pdb_files/3DEP.pdb,data/Ankyrin_repeat_protein/metadata_files/3DEP_metadata.json,2,heteromeric protein,3DEP
data/Ankyrin_repeat_protein/pdb_files/2BKK.pdb,data/Ankyrin_repeat_protein/metadata_files/2BKK_metadata.json,4,heteromeric protein,2BKK
data/Ankyrin_repeat_protein/pdb_files/6MEW.pdb,data/Ankyrin_repeat_protein/metadata_files/6MEW_metadata.json,4,heteromeric protein,6MEW
data/Ankyrin_repeat_protein/pdb_files/8AIW.pdb,data/Ankyrin_repeat_protein/metadata_files/8AIW_metadata.json,2,heteromeric protein,8AIW
data/Ankyrin_repeat_protein/pdb_files/8AK1.pdb,data/Ankyrin_repeat_protein/metadata_files/8AK1_metadata.json,2,heteromeric protein,8AK1
data/Ankyrin_repeat_protein/pdb_files/6SA8.pdb,data/Ankyrin_repeat_protein/metadata_files/6SA8_metadata.json,2,heteromeric protein,6SA8
data/Ankyrin_repeat_protein/pdb_files/5YBE.pdb,data/Ankyrin_repeat_protein/metadata_files/5YBE_metadata.json,2,heteromeric protein,5YBE
data/Ankyrin_repeat_protein/pdb_files/5MA9.pdb,data/Ankyrin_repeat_protein/metadata_files/5MA9_metadata.json,8,heteromeric protein,5MA9
data/Ankyrin_repeat_protein/pdb_files/5YBV.pdb,data/Ankyrin_repeat_protein/metadata_files/5YBV_metadata.json,4,heteromeric protein,5YBV
data/Ankyrin_repeat_protein/pdb_files/7JYA.pdb,data/Ankyrin_repeat_protein/metadata_files/7JYA_metadata.json,6,heteromeric protein,7JYA
data/Ankyrin_repeat_protein/pdb_files/5MA8.pdb,data/Ankyrin_repeat_protein/metadata_files/5MA8_metadata.json,4,heteromeric protein,5MA8
data/Ankyrin_repeat_protein/pdb_files/3KBT.pdb,data/Ankyrin_repeat_protein/metadata_files/3KBT_metadata.json,4,heteromeric protein,3KBT
data/Ankyrin_repeat_protein/pdb_files/5OOY.pdb,data/Ankyrin_repeat_protein/metadata_files/5OOY_metadata.json,4,heteromeric protein,5OOY
data/Ankyrin_repeat_protein/pdb_files/4A63.pdb,data/Ankyrin_repeat_protein/metadata_files/4A63_metadata.json,12,heteromeric protein,4A63
data/Ankyrin_repeat_protein/pdb_files/3TWW.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWW_metadata.json,4,heteromeric protein,3TWW
data/Ankyrin_repeat_protein/pdb_files/3KBU.pdb,data/Ankyrin_repeat_protein/metadata_files/3KBU_metadata.json,4,heteromeric protein,3KBU
data/Ankyrin_repeat_protein/pdb_files/4QQI.pdb,data/Ankyrin_repeat_protein/metadata_files/4QQI_metadata.json,2,heteromeric protein,4QQI
data/Ankyrin_repeat_protein/pdb_files/4CYM.pdb,data/Ankyrin_repeat_protein/metadata_files/4CYM_metadata.json,6,heteromeric protein,4CYM
data/Ankyrin_repeat_protein/pdb_files/3TWX.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWX_metadata.json,4,heteromeric protein,3TWX
data/Ankyrin_repeat_protein/pdb_files/2DWZ.pdb,data/Ankyrin_repeat_protein/metadata_files/2DWZ_metadata.json,4,heteromeric protein,2DWZ
data/Ankyrin_repeat_protein/pdb_files/6MZE.pdb,data/Ankyrin_repeat_protein/metadata_files/6MZE_metadata.json,28,heteromeric protein,6MZE
data/Ankyrin_repeat_protein/pdb_files/4K5A.pdb,data/Ankyrin_repeat_protein/metadata_files/4K5A_metadata.json,2,heteromeric protein,4K5A
data/Ankyrin_repeat_protein/pdb_files/1S70.pdb,data/Ankyrin_repeat_protein/metadata_files/1S70_metadata.json,2,heteromeric protein,1S70
data/Ankyrin_repeat_protein/pdb_files/3ZKJ.pdb,data/Ankyrin_repeat_protein/metadata_files/3ZKJ_metadata.json,6,heteromeric protein,3ZKJ
data/Ankyrin_repeat_protein/pdb_files/5YAY.pdb,data/Ankyrin_repeat_protein/metadata_files/5YAY_metadata.json,2,heteromeric protein,5YAY
data/Ankyrin_repeat_protein/pdb_files/3B95.pdb,data/Ankyrin_repeat_protein/metadata_files/3B95_metadata.json,3,heteromeric protein,3B95
data/Ankyrin_repeat_protein/pdb_files/5YBU.pdb,data/Ankyrin_repeat_protein/metadata_files/5YBU_metadata.json,2,heteromeric protein,5YBU
data/Ankyrin_repeat_protein/pdb_files/5JHQ.pdb,data/Ankyrin_repeat_protein/metadata_files/5JHQ_metadata.json,12,heteromeric protein,5JHQ
data/Ankyrin_repeat_protein/pdb_files/4K5B.pdb,data/Ankyrin_repeat_protein/metadata_files/4K5B_metadata.json,4,heteromeric protein,4K5B
data/Ankyrin_repeat_protein/pdb_files/4BSZ.pdb,data/Ankyrin_repeat_protein/metadata_files/4BSZ_metadata.json,2,heteromeric protein,4BSZ
data/Ankyrin_repeat_protein/pdb_files/4CZ2.pdb,data/Ankyrin_repeat_protein/metadata_files/4CZ2_metadata.json,6,heteromeric protein,4CZ2
data/Ankyrin_repeat_protein/pdb_files/8E0O.pdb,data/Ankyrin_repeat_protein/metadata_files/8E0O_metadata.json,3,heteromeric protein,8E0O
data/Ankyrin_repeat_protein/pdb_files/3V30.pdb,data/Ankyrin_repeat_protein/metadata_files/3V30_metadata.json,2,heteromeric protein,3V30
data/Ankyrin_repeat_protein/pdb_files/5EN5.pdb,data/Ankyrin_repeat_protein/metadata_files/5EN5_metadata.json,6,heteromeric protein,5EN5
data/Ankyrin_repeat_protein/pdb_files/3ZNG.pdb,data/Ankyrin_repeat_protein/metadata_files/3ZNG_metadata.json,6,heteromeric protein,3ZNG
data/Ankyrin_repeat_protein/pdb_files/3UI2.pdb,data/Ankyrin_repeat_protein/metadata_files/3UI2_metadata.json,2,heteromeric protein,3UI2
data/Ankyrin_repeat_protein/pdb_files/3HG0.pdb,data/Ankyrin_repeat_protein/metadata_files/3HG0_metadata.json,4,heteromeric protein,3HG0
data/Ankyrin_repeat_protein/pdb_files/2P2C.pdb,data/Ankyrin_repeat_protein/metadata_files/2P2C_metadata.json,18,heteromeric protein,2P2C
data/Ankyrin_repeat_protein/pdb_files/3NOC.pdb,data/Ankyrin_repeat_protein/metadata_files/3NOC_metadata.json,5,heteromeric protein,3NOC
data/Ankyrin_repeat_protein/pdb_files/7UBZ.pdb,data/Ankyrin_repeat_protein/metadata_files/7UBZ_metadata.json,4,heteromeric protein,7UBZ
data/Ankyrin_repeat_protein/pdb_files/3AJI.pdb,data/Ankyrin_repeat_protein/metadata_files/3AJI_metadata.json,4,heteromeric protein,3AJI
data/Ankyrin_repeat_protein/pdb_files/7DNE.pdb,data/Ankyrin_repeat_protein/metadata_files/7DNE_metadata.json,4,heteromeric protein,7DNE
data/Ankyrin_repeat_protein/pdb_files/6JMT.pdb,data/Ankyrin_repeat_protein/metadata_files/6JMT_metadata.json,12,heteromeric protein,6JMT
data/Ankyrin_repeat_protein/pdb_files/3NOG.pdb,data/Ankyrin_repeat_protein/metadata_files/3NOG_metadata.json,5,heteromeric protein,3NOG
data/Ankyrin_repeat_protein/pdb_files/7TW5.pdb,data/Ankyrin_repeat_protein/metadata_files/7TW5_metadata.json,5,heteromeric protein,7TW5
data/Ankyrin_repeat_protein/pdb_files/6MZF.pdb,data/Ankyrin_repeat_protein/metadata_files/6MZF_metadata.json,28,heteromeric protein,6MZF
data/Ankyrin_repeat_protein/pdb_files/8YM2.pdb,data/Ankyrin_repeat_protein/metadata_files/8YM2_metadata.json,2,heteromeric protein,8YM2
data/Ankyrin_repeat_protein/pdb_files/5OOV.pdb,data/Ankyrin_repeat_protein/metadata_files/5OOV_metadata.json,2,heteromeric protein,5OOV
data/Ankyrin_repeat_protein/pdb_files/5OP1.pdb,data/Ankyrin_repeat_protein/metadata_files/5OP1_metadata.json,2,heteromeric protein,5OP1
data/Ankyrin_repeat_protein/pdb_files/5BXO.pdb,data/Ankyrin_repeat_protein/metadata_files/5BXO_metadata.json,4,heteromeric protein,5BXO
